name,year,movie_tv_id,movie_tv_name,type,department,job,actor_id,created_at,updated_at
Theresa Repola Mohammed,1995,8,Four Rooms,movie,Editing,Negative Cutter,1899435,2022-09-03 17:01:12,2022-09-03 17:01:12
Kristen Becht,1995,8,Four Rooms,movie,Sound,Music Coordinator,2022847,2022-09-03 17:01:12,2022-09-03 17:01:12
Christina Tucker,1995,8,Four Rooms,movie,Sound,ADR Mixer,2045529,2022-09-03 17:01:12,2022-09-03 17:01:12
Martin Charles,1995,8,Four Rooms,movie,Art,Graphic Designer,2080021,2022-09-03 17:01:12,2022-09-03 17:01:12
Mary Patvaldnieks,1995,8,Four Rooms,movie,Art,Assistant Decorator,2278012,2022-09-03 17:01:12,2022-09-03 17:01:12
Andrew King,1995,8,Four Rooms,movie,Art,Assistant Property Master,2278013,2022-09-03 17:01:12,2022-09-03 17:01:12
Vincent Cassaro,1995,8,Four Rooms,movie,Sound,Second Assistant Sound,2278014,2022-09-03 17:01:12,2022-09-03 17:01:12
Christy Sumner,1995,8,Four Rooms,movie,Crew,Special Effects Assistant,2278015,2022-09-03 17:01:12,2022-09-03 17:01:12
Gregory C. Smith,1995,8,Four Rooms,movie,Camera,Assistant Camera,2278016,2022-09-03 17:01:12,2022-09-03 17:01:12
James Irons,1995,8,Four Rooms,movie,Camera,Best Boy Grip,2278017,2022-09-03 17:01:12,2022-09-03 17:01:12
Bob Ivanjack,1995,8,Four Rooms,movie,Camera,Dolly Grip,2278018,2022-09-03 17:01:12,2022-09-03 17:01:12
Jeff Ervin,1995,8,Four Rooms,movie,Editing,Assistant Editor,2278019,2022-09-03 17:01:12,2022-09-03 17:01:12
